id,County_State,County,Year,Farm_Earnings
27001,"Aitkin County, MN",Aitkin County,2001,1900
27001,"Aitkin County, MN",Aitkin County,2002,3189
27001,"Aitkin County, MN",Aitkin County,2003,3723
27001,"Aitkin County, MN",Aitkin County,2004,2601
27001,"Aitkin County, MN",Aitkin County,2005,1052
27001,"Aitkin County, MN",Aitkin County,2006,1544
27001,"Aitkin County, MN",Aitkin County,2007,1177
27001,"Aitkin County, MN",Aitkin County,2008,609
27001,"Aitkin County, MN",Aitkin County,2009,-557
27001,"Aitkin County, MN",Aitkin County,2010,10444
27001,"Aitkin County, MN",Aitkin County,2011,4540
27001,"Aitkin County, MN",Aitkin County,2012,2199
27001,"Aitkin County, MN",Aitkin County,2013,3358
27001,"Aitkin County, MN",Aitkin County,2014,3240
27001,"Aitkin County, MN",Aitkin County,2015,3239
27003,"Anoka County, MN",Anoka County,2001,12032
27003,"Anoka County, MN",Anoka County,2002,14448
27003,"Anoka County, MN",Anoka County,2003,17557
27003,"Anoka County, MN",Anoka County,2004,14408
27003,"Anoka County, MN",Anoka County,2005,14945
27003,"Anoka County, MN",Anoka County,2006,13395
27003,"Anoka County, MN",Anoka County,2007,10888
27003,"Anoka County, MN",Anoka County,2008,12398
27003,"Anoka County, MN",Anoka County,2009,13286
27003,"Anoka County, MN",Anoka County,2010,15857
27003,"Anoka County, MN",Anoka County,2011,15921
27003,"Anoka County, MN",Anoka County,2012,20510
27003,"Anoka County, MN",Anoka County,2013,19150
27003,"Anoka County, MN",Anoka County,2014,20274
27003,"Anoka County, MN",Anoka County,2015,27474
27005,"Becker County, MN",Becker County,2001,13333
27005,"Becker County, MN",Becker County,2002,12728
27005,"Becker County, MN",Becker County,2003,23546
27005,"Becker County, MN",Becker County,2004,17241
27005,"Becker County, MN",Becker County,2005,22745
27005,"Becker County, MN",Becker County,2006,27859
27005,"Becker County, MN",Becker County,2007,28923
27005,"Becker County, MN",Becker County,2008,35870
27005,"Becker County, MN",Becker County,2009,17636
27005,"Becker County, MN",Becker County,2010,29686
27005,"Becker County, MN",Becker County,2011,39975
27005,"Becker County, MN",Becker County,2012,65425
27005,"Becker County, MN",Becker County,2013,57742
27005,"Becker County, MN",Becker County,2014,36306
27005,"Becker County, MN",Becker County,2015,47265
27007,"Beltrami County, MN",Beltrami County,2001,4610
27007,"Beltrami County, MN",Beltrami County,2002,3710
27007,"Beltrami County, MN",Beltrami County,2003,10177
27007,"Beltrami County, MN",Beltrami County,2004,6601
27007,"Beltrami County, MN",Beltrami County,2005,6670
27007,"Beltrami County, MN",Beltrami County,2006,6984
27007,"Beltrami County, MN",Beltrami County,2007,57
27007,"Beltrami County, MN",Beltrami County,2008,4489
27007,"Beltrami County, MN",Beltrami County,2009,6324
27007,"Beltrami County, MN",Beltrami County,2010,2409
27007,"Beltrami County, MN",Beltrami County,2011,3916
27007,"Beltrami County, MN",Beltrami County,2012,8187
