id,County,County_State,Year,Farm_Earn_Percentage,Total_Earnings,Farm_Earnings,Nonfarm_Earnings,,
27001,Aitkin County,"Aitkin County, MN",2002,2.03,157037,3189,153848,,
27001,Aitkin County,"Aitkin County, MN",2003,2.25,165604,3723,161881,,
27001,Aitkin County,"Aitkin County, MN",2004,1.49,174543,2601,171942,,
27001,Aitkin County,"Aitkin County, MN",2005,0.60,174266,1052,173214,,
27001,Aitkin County,"Aitkin County, MN",2006,0.87,178383,1544,176839,,
27001,Aitkin County,"Aitkin County, MN",2007,0.66,178452,1177,177275,,
27001,Aitkin County,"Aitkin County, MN",2008,0.35,174216,609,173607,,
27001,Aitkin County,"Aitkin County, MN",2009,-0.33,168276,-557,168833,,
27001,Aitkin County,"Aitkin County, MN",2010,5.70,183171,10444,172727,,
27001,Aitkin County,"Aitkin County, MN",2011,2.51,181171,4540,176631,,
27001,Aitkin County,"Aitkin County, MN",2012,1.20,183305,2199,181106,,
27001,Aitkin County,"Aitkin County, MN",2013,1.81,185516,3358,182158,,
27001,Aitkin County,"Aitkin County, MN",2014,1.69,191755,3240,188515,,
27001,Aitkin County,"Aitkin County, MN",2015,1.61,200937,3239,197698,,
27003,Anoka County,"Anoka County, MN",2002,0.26,5645600,14448,5631152,,
27003,Anoka County,"Anoka County, MN",2003,0.29,5968457,17557,5950900,,
27003,Anoka County,"Anoka County, MN",2004,0.23,6341947,14408,6327539,,
27003,Anoka County,"Anoka County, MN",2005,0.23,6580198,14945,6565253,,
27003,Anoka County,"Anoka County, MN",2006,0.20,6757035,13395,6743640,,
27003,Anoka County,"Anoka County, MN",2007,0.16,6871055,10888,6860167,,
27003,Anoka County,"Anoka County, MN",2008,0.18,6773236,12398,6760838,,
27003,Anoka County,"Anoka County, MN",2009,0.20,6485187,13286,6471901,,
27003,Anoka County,"Anoka County, MN",2010,0.24,6566861,15857,6551004,,
27003,Anoka County,"Anoka County, MN",2011,0.23,6974252,15921,6958331,,
27003,Anoka County,"Anoka County, MN",2012,0.28,7406690,20510,7386180,,
