id,County,County_State,Year,GDP_Growth_Percentage
27001,Aitkin County,"Aitkin County, MN",2002,9
27001,Aitkin County,"Aitkin County, MN",2003,1.1
27001,Aitkin County,"Aitkin County, MN",2004,9.1
27001,Aitkin County,"Aitkin County, MN",2005,10.8
27001,Aitkin County,"Aitkin County, MN",2006,-1.9
27001,Aitkin County,"Aitkin County, MN",2007,4.8
27001,Aitkin County,"Aitkin County, MN",2008,-0.6
27001,Aitkin County,"Aitkin County, MN",2009,0.2
27001,Aitkin County,"Aitkin County, MN",2010,7.3
27001,Aitkin County,"Aitkin County, MN",2011,-1.6
27001,Aitkin County,"Aitkin County, MN",2012,-2.7
27001,Aitkin County,"Aitkin County, MN",2013,2.7
27001,Aitkin County,"Aitkin County, MN",2014,2.2
27001,Aitkin County,"Aitkin County, MN",2015,11.7
27003,Anoka County,"Anoka County, MN",2002,6.5
27003,Anoka County,"Anoka County, MN",2003,7.9
27003,Anoka County,"Anoka County, MN",2004,5.1
27003,Anoka County,"Anoka County, MN",2005,6.3
27003,Anoka County,"Anoka County, MN",2006,6
27003,Anoka County,"Anoka County, MN",2007,0.3
27003,Anoka County,"Anoka County, MN",2008,0.3
27003,Anoka County,"Anoka County, MN",2009,-1.6
27003,Anoka County,"Anoka County, MN",2010,4.8
27003,Anoka County,"Anoka County, MN",2011,4.2
27003,Anoka County,"Anoka County, MN",2012,4.5
27003,Anoka County,"Anoka County, MN",2013,5.3
27003,Anoka County,"Anoka County, MN",2014,4.6
27003,Anoka County,"Anoka County, MN",2015,5.8
27005,Becker County,"Becker County, MN",2002,5.3
27005,Becker County,"Becker County, MN",2003,10
27005,Becker County,"Becker County, MN",2004,7.5
27005,Becker County,"Becker County, MN",2005,6.8
27005,Becker County,"Becker County, MN",2006,7.4
27005,Becker County,"Becker County, MN",2007,5.2
27005,Becker County,"Becker County, MN",2008,0.4
27005,Becker County,"Becker County, MN",2009,-3.4
27005,Becker County,"Becker County, MN",2010,11
27005,Becker County,"Becker County, MN",2011,5.3
27005,Becker County,"Becker County, MN",2012,5.5
27005,Becker County,"Becker County, MN",2013,3.7
27005,Becker County,"Becker County, MN",2014,2.2
27005,Becker County,"Becker County, MN",2015,3.6
27007,Beltrami County,"Beltrami County, MN",2002,7.4
27007,Beltrami County,"Beltrami County, MN",2003,6.1
27007,Beltrami County,"Beltrami County, MN",2004,3
27007,Beltrami County,"Beltrami County, MN",2005,2.7
27007,Beltrami County,"Beltrami County, MN",2006,6.4
27007,Beltrami County,"Beltrami County, MN",2007,2.7
27007,Beltrami County,"Beltrami County, MN",2008,3.1
