County_State,County,State,Median_HV,Median_HI
"Autauga County, Alabama",Autauga County, Alabama,127400,55745
"Baldwin County, Alabama",Baldwin County, Alabama,164400,56955
"Barbour County, Alabama",Barbour County, Alabama,95550,45771.5
"Bibb County, Alabama",Bibb County, Alabama,92100,44451.5
"Blount County, Alabama",Blount County, Alabama,114050,52026
"Bullock County, Alabama",Bullock County, Alabama,76400,39100.5
"Butler County, Alabama",Butler County, Alabama,86350,41708
"Calhoun County, Alabama",Calhoun County, Alabama,102800,50002
"Chambers County, Alabama",Chambers County, Alabama,80850,40835
"Cherokee County, Alabama",Cherokee County, Alabama,110000,44924
"Chilton County, Alabama",Chilton County, Alabama,99750,48903.5
"Choctaw County, Alabama",Choctaw County, Alabama,71550,46608
"Clarke County, Alabama",Clarke County, Alabama,94450,47350
"Clay County, Alabama",Clay County, Alabama,84950,41760.5
"Cleburne County, Alabama",Cleburne County, Alabama,109950,46136
"Coffee County, Alabama",Coffee County, Alabama,137350,58472.5
"Colbert County, Alabama",Colbert County, Alabama,98450,49602
"Conecuh County, Alabama",Conecuh County, Alabama,70750,36860.5
"Coosa County, Alabama",Coosa County, Alabama,83850,39138.5
"Covington County, Alabama",Covington County, Alabama,97600,44665.5
"Crenshaw County, Alabama",Crenshaw County, Alabama,71650,44163.5
"Cullman County, Alabama",Cullman County, Alabama,110850,45557
"Dale County, Alabama",Dale County, Alabama,99150,53961
"Dallas County, Alabama",Dallas County, Alabama,79900,43282.5
"DeKalb County, Alabama",DeKalb County, Alabama,97150,42888.5
"Elmore County, Alabama",Elmore County, Alabama,132300,58618.5
"Escambia County, Alabama",Escambia County, Alabama,99000,45913.5
"Etowah County, Alabama",Etowah County, Alabama,98300,47597
"Fayette County, Alabama",Fayette County, Alabama,79500,46173
"Franklin County, Alabama",Franklin County, Alabama,86350,44738.5
"Geneva County, Alabama",Geneva County, Alabama,78700,46960.5
"Greene County, Alabama",Greene County, Alabama,73700,25375.5
"Hale County, Alabama",Hale County, Alabama,90150,42810.5
"Henry County, Alabama",Henry County, Alabama,99400,46969.5
"Houston County, Alabama",Houston County, Alabama,117150,51136.5
"Jackson County, Alabama",Jackson County, Alabama,100500,46724.5
"Jefferson County, Alabama",Jefferson County, Alabama,134900,57514.5
"Lamar County, Alabama",Lamar County, Alabama,69500,43777
"Lauderdale County, Alabama",Lauderdale County, Alabama,118150,52612.5
"Lawrence County, Alabama",Lawrence County, Alabama,96800,46270
"Lee County, Alabama",Lee County, Alabama,137250,59473.5
"Limestone County, Alabama",Limestone County, Alabama,136700,57062.5
"Lowndes County, Alabama",Lowndes County, Alabama,67950,36892.5
"Macon County, Alabama",Macon County, Alabama,75450,42098.5
"Madison County, Alabama",Madison County, Alabama,164250,70165.5
"Marengo County, Alabama",Marengo County, Alabama,94150,42300
"Marion County, Alabama",Marion County, Alabama,82100,41972
"Marshall County, Alabama",Marshall County, Alabama,113000,47633
"Mobile County, Alabama",Mobile County, Alabama,115600,52948.5
"Monroe County, Alabama",Monroe County, Alabama,82350,39932.5
"Montgomery County, Alabama",Montgomery County, Alabama,116600,54858.5
"Morgan County, Alabama",Morgan County, Alabama,121250,55489
"Perry County, Alabama",Perry County, Alabama,69650,35239
"Pickens County, Alabama",Pickens County, Alabama,81750,41123.5
"Pike County, Alabama",Pike County, Alabama,106250,51373
"Randolph County, Alabama",Randolph County, Alabama,88000,45778.5
"Russell County, Alabama",Russell County, Alabama,106600,45848
"St. Clair County, Alabama",St. Clair County, Alabama,125600,53304.5
"Shelby County, Alabama",Shelby County, Alabama,185950,70711.5
"Sumter County, Alabama",Sumter County, Alabama,75550,31494.5
"Talladega County, Alabama",Talladega County, Alabama,90750,45051
