State,County,County_State,Year,Poverty_Rate
ID,Ada County,"Ada County, ID",2010,13.8
ID,Ada County,"Ada County, ID",2011,12.3
ID,Ada County,"Ada County, ID",2012,11
ID,Ada County,"Ada County, ID",2013,10.1
ID,Ada County,"Ada County, ID",2014,11.9
ID,Ada County,"Ada County, ID",2015,9.2
CO,Adams County,"Adams County, CO",2010,13.1
CO,Adams County,"Adams County, CO",2011,16.5
CO,Adams County,"Adams County, CO",2012,14.9
CO,Adams County,"Adams County, CO",2013,13
CO,Adams County,"Adams County, CO",2014,12.8
CO,Adams County,"Adams County, CO",2015,13
IL,Adams County,"Adams County, IL",2010,12.6
IL,Adams County,"Adams County, IL",2011,17.5
IL,Adams County,"Adams County, IL",2012,11.8
IL,Adams County,"Adams County, IL",2013,12
IL,Adams County,"Adams County, IL",2014,12
IL,Adams County,"Adams County, IL",2015,15.7
PA,Adams County,"Adams County, PA",2010,10.2
PA,Adams County,"Adams County, PA",2011,16.9
PA,Adams County,"Adams County, PA",2012,20.3
PA,Adams County,"Adams County, PA",2013,16.1
PA,Adams County,"Adams County, PA",2014,22.2
PA,Adams County,"Adams County, PA",2015,20.3
SC,Aiken County,"Aiken County, SC",2010,17.9
SC,Aiken County,"Aiken County, SC",2011,10
SC,Aiken County,"Aiken County, SC",2012,10.8
SC,Aiken County,"Aiken County, SC",2013,13.3
SC,Aiken County,"Aiken County, SC",2014,13.1
SC,Aiken County,"Aiken County, SC",2015,11.2
FL,Alachua County,"Alachua County, FL",2010,26.9
FL,Alachua County,"Alachua County, FL",2011,24.4
FL,Alachua County,"Alachua County, FL",2012,27.7
FL,Alachua County,"Alachua County, FL",2013,26.8
FL,Alachua County,"Alachua County, FL",2014,22.2
FL,Alachua County,"Alachua County, FL",2015,17.3
NC,Alamance County,"Alamance County, NC",2010,18.9
NC,Alamance County,"Alamance County, NC",2011,15.1
NC,Alamance County,"Alamance County, NC",2012,18.1
NC,Alamance County,"Alamance County, NC",2013,7.3
NC,Alamance County,"Alamance County, NC",2014,7.4
NC,Alamance County,"Alamance County, NC",2015,15.4
CA,Alameda County,"Alameda County, CA",2010,13.5
CA,Alameda County,"Alameda County, CA",2011,13.1
CA,Alameda County,"Alameda County, CA",2012,13.1
CA,Alameda County,"Alameda County, CA",2013,12.9
CA,Alameda County,"Alameda County, CA",2014,12.5
CA,Alameda County,"Alameda County, CA",2015,11.4
NY,Albany County,"Albany County, NY",2010,13.7
NY,Albany County,"Albany County, NY",2011,17.1
NY,Albany County,"Albany County, NY",2012,28
NY,Albany County,"Albany County, NY",2013,12.2
NY,Albany County,"Albany County, NY",2014,17.6
NY,Albany County,"Albany County, NY",2015,27.1
VA,Albemarle County,"Albemarle County, VA",2010,9
VA,Albemarle County,"Albemarle County, VA",2011,14.1
VA,Albemarle County,"Albemarle County, VA",2012,16.6
VA,Albemarle County,"Albemarle County, VA",2013,31.1
VA,Albemarle County,"Albemarle County, VA",2014,33.4
VA,Albemarle County,"Albemarle County, VA",2015,12.3
VA,Alexandria city,"Alexandria city, VA",2010,9.9
VA,Alexandria city,"Alexandria city, VA",2011,8.8
VA,Alexandria city,"Alexandria city, VA",2012,25.4
VA,Alexandria city,"Alexandria city, VA",2013,12.1
VA,Alexandria city,"Alexandria city, VA",2014,11.4
VA,Alexandria city,"Alexandria city, VA",2015,6.8
MI,Allegan County,"Allegan County, MI",2010,16.3
MI,Allegan County,"Allegan County, MI",2011,11.6
MI,Allegan County,"Allegan County, MI",2012,20.5
MI,Allegan County,"Allegan County, MI",2013,20.4
MI,Allegan County,"Allegan County, MI",2014,21.7
MI,Allegan County,"Allegan County, MI",2015,9.7
MD,Allegany County,"Allegany County, MD",2010,17.3
MD,Allegany County,"Allegany County, MD",2011,9.7
MD,Allegany County,"Allegany County, MD",2012,18.1
MD,Allegany County,"Allegany County, MD",2013,16.1
MD,Allegany County,"Allegany County, MD",2014,19
MD,Allegany County,"Allegany County, MD",2015,13.1
PA,Allegheny County,"Allegheny County, PA",2010,12
PA,Allegheny County,"Allegheny County, PA",2011,13
PA,Allegheny County,"Allegheny County, PA",2012,18.3
PA,Allegheny County,"Allegheny County, PA",2013,21.5
PA,Allegheny County,"Allegheny County, PA",2014,18.4
PA,Allegheny County,"Allegheny County, PA",2015,22.6
IN,Allen County,"Allen County, IN",2010,13.5
IN,Allen County,"Allen County, IN",2011,19.6
IN,Allen County,"Allen County, IN",2012,12.9
IN,Allen County,"Allen County, IN",2013,15.2
IN,Allen County,"Allen County, IN",2014,14.7
IN,Allen County,"Allen County, IN",2015,7.9
OH,Allen County,"Allen County, OH",2010,19.3
OH,Allen County,"Allen County, OH",2011,9.7
OH,Allen County,"Allen County, OH",2012,24.9
OH,Allen County,"Allen County, OH",2013,9.7
OH,Allen County,"Allen County, OH",2014,10.8
OH,Allen County,"Allen County, OH",2015,18.2
AK,Anchorage Municipality,"Anchorage Municipality, AK",2010,9
AK,Anchorage Municipality,"Anchorage Municipality, AK",2011,7.6
AK,Anchorage Municipality,"Anchorage Municipality, AK",2012,8.4
AK,Anchorage Municipality,"Anchorage Municipality, AK",2013,6.7
AK,Anchorage Municipality,"Anchorage Municipality, AK",2014,9.7
AK,Anchorage Municipality,"Anchorage Municipality, AK",2015,8.4
SC,Anderson County,"Anderson County, SC",2010,19.7
SC,Anderson County,"Anderson County, SC",2011,18.4
SC,Anderson County,"Anderson County, SC",2012,10.7
SC,Anderson County,"Anderson County, SC",2013,11.7
SC,Anderson County,"Anderson County, SC",2014,12.1
SC,Anderson County,"Anderson County, SC",2015,25.8
TN,Anderson County,"Anderson County, TN",2010,15.2
TN,Anderson County,"Anderson County, TN",2011,16
TN,Anderson County,"Anderson County, TN",2012,16.5
TN,Anderson County,"Anderson County, TN",2013,17.6
TN,Anderson County,"Anderson County, TN",2014,18.8
TN,Anderson County,"Anderson County, TN",2015,17.3
ME,Androscoggin County,"Androscoggin County, ME",2010,14.8
ME,Androscoggin County,"Androscoggin County, ME",2011,19.9
ME,Androscoggin County,"Androscoggin County, ME",2012,24.4
ME,Androscoggin County,"Androscoggin County, ME",2013,21.7
ME,Androscoggin County,"Androscoggin County, ME",2014,21.6
ME,Androscoggin County,"Androscoggin County, ME",2015,13.3
TX,Angelina County,"Angelina County, TX",2010,17.9
TX,Angelina County,"Angelina County, TX",2011,18.7
TX,Angelina County,"Angelina County, TX",2012,21.7
TX,Angelina County,"Angelina County, TX",2013,9.9
TX,Angelina County,"Angelina County, TX",2014,13.9
TX,Angelina County,"Angelina County, TX",2015,13.5
MD,Anne Arundel County,"Anne Arundel County, MD",2010,6.4
MD,Anne Arundel County,"Anne Arundel County, MD",2011,18.9
MD,Anne Arundel County,"Anne Arundel County, MD",2012,11.6
